resBayes resBagging resRF resLVIRF resCsrf5 resCsrf10 resCsrf50 resCsrf150 resCsrf250 resCsrf350 resDVSRF1 resDVSRF2 resKVRF1 resKVRF2 resKVRF3 resKVRF4 resNNRF1 resNNRF2 resNNRF3
0.2562 0.3986 0.3934 0.421 0.4204 0.427 0.417 0.4066 0.4052 0.4 0.3972 0.4056 0.4012 0.393 0.3966 0.3948 0.3812 0.3766 0.3862
0.2634 0.3922 0.419 0.4276 0.4172 0.4172 0.4186 0.4152 0.4144 0.4018 0.4114 0.4164 0.4114 0.4156 0.4168 0.413 0.3912 0.3936 0.4018
0.2466 0.3916 0.3878 0.411 0.416 0.4172 0.4144 0.4066 0.4026 0.3982 0.3994 0.3956 0.3968 0.385 0.3896 0.402 0.374 0.3766 0.378
0.2544 0.4018 0.4116 0.4324 0.4262 0.4306 0.4218 0.418 0.4198 0.4172 0.4084 0.4142 0.407 0.3984 0.4008 0.4126 0.3868 0.388 0.3918
0.2522 0.3992 0.4028 0.4262 0.433 0.429 0.4198 0.4162 0.4118 0.4102 0.399 0.4124 0.402 0.399 0.4022 0.4036 0.3746 0.382 0.3928
0.2604 0.4076 0.4158 0.4232 0.4232 0.425 0.4262 0.424 0.4188 0.4136 0.4186 0.4192 0.4154 0.4142 0.4158 0.4176 0.3942 0.3996 0.3944
0.257 0.3984 0.3928 0.425 0.424 0.4222 0.4162 0.4142 0.4048 0.4064 0.4036 0.4072 0.3968 0.3994 0.3928 0.3962 0.3842 0.3876 0.3882
0.252 0.4102 0.4146 0.4254 0.4254 0.4282 0.4246 0.4252 0.415 0.4156 0.4056 0.4124 0.4088 0.405 0.4156 0.4128 0.3844 0.3878 0.3964
0.2492 0.3794 0.3844 0.3926 0.4188 0.4162 0.41 0.4056 0.4032 0.395 0.381 0.3932 0.3796 0.3794 0.3852 0.387 0.3616 0.3668 0.3766
0.2712 0.4028 0.4048 0.439 0.4308 0.4238 0.4238 0.4204 0.4216 0.419 0.4108 0.423 0.4048 0.4078 0.4052 0.4094 0.3938 0.407 0.395
